vessel,stationid,stratum,latitude,longitude,priority
1,226-155,33,59.05573,-151.3307,MEDIUM
OEX,226-138,130,58.2449,-151.3307,HIGH
OEX,226-138,30,58.26817,-151.3303,HIGH
1,227-143,132,58.48903,-151.248,HIGH
1,227-145,132,58.58282,-151.248,HIGH
OEX,227-137,130,58.20913,-151.248,HIGH
1,228-121,31,57.47313,-151.1652,HIGH
1,228-145,132,58.58282,-151.1652,HIGH
1,228-146,132,58.62983,-151.1652,HIGH
1,228-156,132,59.10492,-151.1652,HIGH
OEX,228-131,31,57.9314,-151.1652,HIGH
OEX,228-143,31,58.48358,-151.1492,HIGH
1,229-158,33,59.19885,-151.0827,MEDIUM
OEX,229-117,134,57.28449,-151.0827,HIGH
OEX,230-129,31,57.83925,-151,HIGH
OEX,230-118,134,57.32973,-151,HIGH
1,231-128,31,57.7933,-150.9173,HIGH
OEX,231-153,131,58.95665,-150.9173,HIGH
1,232-156,133,59.1034,-150.8348,HIGH
OEX,232-126,31,57.70152,-150.8348,HIGH
OEX,232-147,230,58.6769,-150.8348,HIGH
1,233-145,131,58.57425,-150.752,HIGH
OEX,233-133,130,58.02372,-150.752,HIGH
OEX,234-145,131,58.58251,-150.6693,HIGH
OEX,235-128,31,57.7933,-150.5868,HIGH
OEX,235-149,131,58.77122,-150.5868,HIGH
OEX,235-155,133,59.05573,-150.5868,HIGH
1,236-138,31,58.25562,-150.504,HIGH
1,236-139,31,58.3022,-150.504,HIGH
OEX,236-142,31,58.44222,-150.504,HIGH
1,237-147,131,58.6769,-150.4212,HIGH
1,237-150,131,58.8185,-150.4212,HIGH
1,237-152,131,58.9132,-150.4212,HIGH
1,237-148,131,58.72403,-150.4077,HIGH
1,238-132,130,57.97752,-150.3388,HIGH
OEX,238-150,131,58.8185,-150.3388,HIGH
OEX,238-119,330,57.3822,-150.3388,HIGH
1,239-125,130,57.6716,-150.2597,HIGH
OEX,239-128,130,57.7933,-150.256,HIGH
OEX,239-145,131,58.58282,-150.256,HIGH
OEX,240-132,130,57.97752,-150.1968,HIGH
1,240-120,330,57.43237,-150.1732,HIGH
1,241-152,131,58.90322,-150.0908,HIGH
1,241-124,231,57.61,-150.0908,HIGH
1,241-122,330,57.5187,-150.0908,HIGH
OEX,242-125,231,57.65573,-150.0247,HIGH
1,242-147,131,58.6769,-150.0082,HIGH
1,242-159,133,59.2467,-150.0082,HIGH
OEX,242-126,330,57.70152,-149.9835,HIGH
OEX,243-143,131,58.48903,-149.9258,HIGH
OEX,243-147,131,58.6769,-149.9258,HIGH
1,244-135,130,58.13029,-149.843,HIGH
1,244-164,133,59.48693,-149.843,HIGH
1,244-131,230,57.9314,-149.843,HIGH
OEX,245-137,31,58.20913,-149.7602,HIGH
OEX,245-146,131,58.62983,-149.7602,HIGH
1,246-162,33,59.39062,-149.6777,HIGH
OEX,246-157,133,59.1511,-149.6777,HIGH
1,247-162,33,59.39182,-149.595,HIGH
1,247-168,33,59.68035,-149.595,HIGH
1,247-144,131,58.5359,-149.595,HIGH
OEX,247-141,131,58.3955,-149.595,HIGH
1,248-163,33,59.42352,-149.5122,HIGH
